tipo de identificación,número de identificación,número de cuenta,nombres,tipo transacción,monto transacción,tipo de producto,ciudad,fecha-hora,fecha de nacimiento,dirección del cliente,teléfono del cliente,correo del cliente,reporte centrales de riesgo,monto reporte de central de riesgo,tiempo en mora del reporte de riesgo
TI,869689427,5729333560,Cliente0 Pérez,Compra,514178,Inversión,Medellín,2024-02-28 05:30:54,1800-01-01,Calle 78 #1-50,3638292757,cliente0.570@mail.com,Sí,189620,30 días
CE,443107455,8313273197,Cliente1 Méndez,Transferencia,3775097,Cuenta de ahorros,Bucaramanga,2024-02-28 06:59:27,1959-04-21,Carrera 67 #3-40,3869197084,cliente1.994@mail.com,Sí,170826,30 días
CE,953479893,3109087126,Cliente2 Ramírez,Compra,2010844,Cuenta corriente,Barranquilla,2024-02-28 08:48:17,1995-03-25,Carrera 4 #73-43,3823151477,correo@,Sí,642458,60 días
CC,555761619,6097167283,Cliente3 Pérez,Depósito,4149752,Tarjeta de crédito,Bucaramanga,2024-02-28 19:06:37,1951-10-01,Carrera 12 #15-28,3990535441,cliente3.896@outlook.com,No,,
PAS,303469706,5436781491,Cliente4 Pérez,Transferencia,534425,Cuenta de ahorros,Pereira,2024-02-28 19:10:56,2002-06-02,Calle 109 #88-2,3426177665,usuario@dominio,Sí,593757,90 días
PAS,621226835,7632908807,Cliente5 Ramírez,Depósito,3616456,Cuenta corriente,Bucaramanga,1709160535,1953-11-14,Avenida 101 #86-27,3355073505,cliente5.228@yahoo.com,No,,
CE,926571417,5601021282,Cliente6 Ramírez,Depósito,3492282,Cuenta de ahorros,Barranquilla,2024-02-28 22:30:04,1800-01-01,Carrera 120 #34-28,3299885678,sincorreo,Sí,149139,60 días
PAS,473373557,6316503919,Cliente7 Ramírez,Compra,3703444,Tarjeta de crédito,Bucaramanga,2024-02-28 11:09:34,1958-02-21,Calle 61 #60-36,3911650704,cliente7.766@yahoo.com,No,,
PAS,415363569,7910561254,Cliente8 Torres,Depósito,2536347,Tarjeta de crédito,Pereira,1709162677,1962-10-03,Avenida 13 #59-21,3838157652,correo@,No,,
TI,336029124,1042290147,Cliente9 Ramírez,Depósito,2631942,Cuenta de ahorros,Pereira,2024-02-28 09:49:32,1982-12-11,Calle 132 #36-17,3820055581,cliente9.482@yahoo.com,Sí,274005,120 días
PAS,134227912,8731280089,Cliente10 Gómez,Pago,1801494,Tarjeta de crédito,Cartagena,1709140482,1969-01-11,Carrera 101 #85-19,3896797344,cliente10.690@outlook.com,No,,
CE,758062612,3944500909,Cliente11 Gómez,Transferencia,1532306,Inversión,Pereira,2024-02-28 22:18:53,1995-06-02,Diagonal 133 #55-1,3188468031,cliente11.480@yahoo.com,Sí,362811,30 días
PAS,192391416,2262176301,Cliente12 Pérez,Pago,1973763,Inversión,Medellín,1709114224,1977-03-15,Diagonal 3 #93-3,3541572904,sincorreo,Sí,161629,90 días
CE,243864102,5702844746,Cliente13 Méndez,Retiro,2306383,Cuenta de ahorros,Bucaramanga,1709095039,1960-09-10,Avenida 149 #74-9,3739573872,cliente13.934@mail.com,No,,
PAS,872764392,1405433280,Cliente14 Pérez,Retiro,2993379,Cuenta de ahorros,Cartagena,1709152587,1964-01-14,Calle 150 #23-24,3423721616,sincorreo,No,,
CC,783613986,7821634427,Cliente15 Ramírez,Pago,827495,Cuenta corriente,Cali,2024-02-28 07:20:30,1980-09-22,Diagonal 74 #95-50,3917359756,sincorreo,No,,
TI,420318733,5274756770,Cliente16 Ramírez,Compra,2253352,Cuenta de ahorros,Cali,1709099512,1997-04-19,Carrera 41 #74-27,3583000420,usuario@dominio,Sí,31737,30 días
CC,728984146,2486021659,Cliente17 Méndez,Pago,3608425,Préstamo personal,Barranquilla,2024-02-28 18:24:12,1955-02-28,Avenida 126 #92-20,3106617526,correo@,No,,
CC,267365189,7144253663,Cliente18 Gómez,Pago,3687481,Inversión,Bucaramanga,1709157121,1982-11-04,Calle 33 #12-12,3774139470,cliente18.405@outlook.com,No,,
