tipo_identificacion,numero_identificacion,nombres,fecha_nacimiento,direccion_cliente,telefono_cliente,correo_cliente,ciudad,id_cliente
CE,443107455,Cliente1 Méndez,1959-04-21 00:00:00,"Carrera 67 #3-40",3869197084,cliente1.994@mail.com,Bucaramanga,1
CE,953479893,Cliente2 Ramírez,1995-03-25 00:00:00,"Carrera 4 #73-43",3823151477,"",Barranquilla,2
CC,555761619,Cliente3 Pérez,1951-10-01 00:00:00,"Carrera 12 #15-28",3990535441,cliente3.896@outlook.com,Bucaramanga,3
PAS,303469706,Cliente4 Pérez,2002-06-02 00:00:00,"Calle 109 #88-2",3426177665,"",Pereira,4
PAS,621226835,Cliente5 Ramírez,1953-11-14 00:00:00,"Avenida 101 #86-27",3355073505,cliente5.228@yahoo.com,Bucaramanga,5
PAS,473373557,Cliente7 Ramírez,1958-02-21 00:00:00,"Calle 61 #60-36",3911650704,cliente7.766@yahoo.com,Bucaramanga,6
PAS,415363569,Cliente8 Torres,1962-10-03 00:00:00,"Avenida 13 #59-21",3838157652,"",Pereira,7
TI,336029124,Cliente9 Ramírez,1982-12-11 00:00:00,"Calle 132 #36-17",3820055581,cliente9.482@yahoo.com,Pereira,8
PAS,134227912,Cliente10 Gómez,1969-01-11 00:00:00,"Carrera 101 #85-19",3896797344,cliente10.690@outlook.com,Cartagena,9
CE,758062612,Cliente11 Gómez,1995-06-02 00:00:00,"Diagonal 133 #55-1",3188468031,cliente11.480@yahoo.com,Pereira,10
PAS,192391416,Cliente12 Pérez,1977-03-15 00:00:00,"Diagonal 3 #93-3",3541572904,"",Medellín,11
CE,243864102,Cliente13 Méndez,1960-09-10 00:00:00,"Avenida 149 #74-9",3739573872,cliente13.934@mail.com,Bucaramanga,12
PAS,872764392,Cliente14 Pérez,1964-01-14 00:00:00,"Calle 150 #23-24",3423721616,"",Cartagena,13
CC,783613986,Cliente15 Ramírez,1980-09-22 00:00:00,"Diagonal 74 #95-50",3917359756,"",Cali,14
TI,420318733,Cliente16 Ramírez,1997-04-19 00:00:00,"Carrera 41 #74-27",3583000420,"",Cali,15
CC,728984146,Cliente17 Méndez,1955-02-28 00:00:00,"Avenida 126 #92-20",3106617526,"",Barranquilla,16
CC,267365189,Cliente18 Gómez,1982-11-04 00:00:00,"Calle 33 #12-12",3774139470,cliente18.405@outlook.com,Bucaramanga,17
TI,595249826,Cliente19 Ramírez,2001-03-26 00:00:00,"Avenida 8 #13-35",3117954130,"",Pereira,18
CE,168009340,Cliente20 Gómez,1952-09-08 00:00:00,"Carrera 99 #72-32",3184175212,"",Bucaramanga,19
CC,945639708,Cliente21 Pérez,1986-08-25 00:00:00,"Diagonal 110 #65-46",3701012453,cliente21.172@mail.com,Cartagena,20
TI,313429311,Cliente22 Pérez,1978-01-15 00:00:00,"Diagonal 57 #94-11",3911565011,"",Barranquilla,21
CC,299952016,Cliente23 Gómez,1980-10-15 00:00:00,"Carrera 71 #29-21",3682350560,"",Cali,22
PAS,238439933,Cliente24 Torres,1991-04-22 00:00:00,"Carrera 102 #3-19",3397828202,cliente24.703@mail.com,Medellín,23
CC,996312048,Cliente25 Gómez,1955-07-02 00:00:00,"Carrera 16 #62-20",3956944343,cliente25.964@outlook.com,Cali,24
TI,351895568,Cliente26 Torres,1968-11-24 00:00:00,"Diagonal 82 #15-30",3870300865,"",Medellín,25
CC,556330548,Cliente27 Ramírez,2001-08-17 00:00:00,"Avenida 55 #92-45",3151924581,"",Bogotá,26
CC,391882859,Cliente28 Pérez,1972-06-10 00:00:00,"Calle 70 #3-5",3448825518,"",Medellín,27
CC,982089349,Cliente29 Ramírez,1956-09-21 00:00:00,"Calle 129 #36-43",3928784024,"",Medellín,28
TI,282791617,Cliente30 Pérez,1966-07-05 00:00:00,"Carrera 146 #9-46",3530729935,cliente30.83@mail.com,Cartagena,29
PAS,729971146,Cliente31 Méndez,1982-04-25 00:00:00,"Calle 44 #49-49",3138955247,cliente31.315@outlook.com,Pereira,30
PAS,285699477,Cliente32 Méndez,1991-03-26 00:00:00,"Avenida 30 #3-1",3146094728,"",Medellín,31
PAS,811137216,Cliente33 Pérez,1953-01-14 00:00:00,"Diagonal 88 #11-33",3529424939,"",Pereira,32
TI,470262238,Cliente34 Pérez,1988-02-12 00:00:00,"Carrera 115 #78-18",3933015855,"",Medellín,33
TI,357312372,Cliente35 Ramírez,1981-03-13 00:00:00,"Diagonal 111 #3-13",3575145146,"",Medellín,34
CE,596965335,Cliente36 Pérez,1983-03-25 00:00:00,"Diagonal 133 #48-14",3454097721,cliente36.574@gmail.com,Medellín,35
CC,866675885,Cliente37 Torres,1955-10-02 00:00:00,"Diagonal 42 #32-39",3938345005,cliente37.986@mail.com,Barranquilla,36
CC,568384585,Cliente39 Méndez,1969-05-04 00:00:00,"Avenida 2 #82-4",3606241866,"",Medellín,37
CE,515951024,Cliente40 Torres,1966-04-17 00:00:00,"Calle 118 #71-47",3829837079,cliente40.488@outlook.com,Cali,38
CC,692202275,Cliente41 Pérez,1993-12-19 00:00:00,"Diagonal 81 #15-11",3127425345,cliente41.521@gmail.com,Bogotá,39
TI,466701153,Cliente42 Ramírez,1962-01-20 00:00:00,"Avenida 97 #9-7",3759358692,"",Cali,40
CC,274590813,Cliente44 Gómez,1963-01-05 00:00:00,"Calle 87 #23-1",3693471658,"",Barranquilla,41
CC,609761835,Cliente45 Ramírez,1967-09-08 00:00:00,"Diagonal 136 #75-27",3198303977,"",Pereira,42
PAS,764134575,Cliente46 Torres,2001-09-07 00:00:00,"Avenida 64 #35-9",3466502664,"",Pereira,43
CC,795829536,Cliente47 Méndez,2005-11-23 00:00:00,"Avenida 56 #66-6",3422379983,cliente47.486@yahoo.com,Bogotá,44
CE,882777404,Cliente48 Gómez,2002-09-25 00:00:00,"Calle 21 #54-30",3105832406,"",Pereira,45
CE,157611706,Cliente49 Méndez,1976-02-20 00:00:00,"Diagonal 121 #80-15",3530534789,"",Cali,46
