tipo_identificacion,numero_identificacion,nombres,fecha_nacimiento,direccion_cliente,telefono_cliente,correo_cliente,ciudad,id_cliente
TI,869689427,Cliente0 Pérez,1800-01-01 00:00:00,"Calle 78 #1-50",3638292757,cliente0.570@mail.com,Medellín,1
CE,443107455,Cliente1 Méndez,1959-04-21 00:00:00,"Carrera 67 #3-40",3869197084,cliente1.994@mail.com,Bucaramanga,2
CE,953479893,Cliente2 Ramírez,1995-03-25 00:00:00,"Carrera 4 #73-43",3823151477,"",Barranquilla,3
CC,555761619,Cliente3 Pérez,1951-10-01 00:00:00,"Carrera 12 #15-28",3990535441,cliente3.896@outlook.com,Bucaramanga,4
PAS,303469706,Cliente4 Pérez,2002-06-02 00:00:00,"Calle 109 #88-2",3426177665,"",Pereira,5
PAS,621226835,Cliente5 Ramírez,1953-11-14 00:00:00,"Avenida 101 #86-27",3355073505,cliente5.228@yahoo.com,Bucaramanga,6
CE,926571417,Cliente6 Ramírez,1800-01-01 00:00:00,"Carrera 120 #34-28",3299885678,"",Barranquilla,7
PAS,473373557,Cliente7 Ramírez,1958-02-21 00:00:00,"Calle 61 #60-36",3911650704,cliente7.766@yahoo.com,Bucaramanga,8
PAS,415363569,Cliente8 Torres,1962-10-03 00:00:00,"Avenida 13 #59-21",3838157652,"",Pereira,9
TI,336029124,Cliente9 Ramírez,1982-12-11 00:00:00,"Calle 132 #36-17",3820055581,cliente9.482@yahoo.com,Pereira,10
PAS,134227912,Cliente10 Gómez,1969-01-11 00:00:00,"Carrera 101 #85-19",3896797344,cliente10.690@outlook.com,Cartagena,11
CE,758062612,Cliente11 Gómez,1995-06-02 00:00:00,"Diagonal 133 #55-1",3188468031,cliente11.480@yahoo.com,Pereira,12
PAS,192391416,Cliente12 Pérez,1977-03-15 00:00:00,"Diagonal 3 #93-3",3541572904,"",Medellín,13
CE,243864102,Cliente13 Méndez,1960-09-10 00:00:00,"Avenida 149 #74-9",3739573872,cliente13.934@mail.com,Bucaramanga,14
PAS,872764392,Cliente14 Pérez,1964-01-14 00:00:00,"Calle 150 #23-24",3423721616,"",Cartagena,15
CC,783613986,Cliente15 Ramírez,1980-09-22 00:00:00,"Diagonal 74 #95-50",3917359756,"",Cali,16
