id_transaccion,fecha_hora,monto_transaccion,tipo_transaccion,numero_cuenta,id_cliente,id_producto,id_riesgo,id_fecha,alerta_fecha_futura,alerta_monto_negativo,alerta_tipo_desconocido
1,2024-02-28 05:30:54,514178,Compra,5729333560,1,1,1,1,false,false,true
2,2024-02-28 06:59:27,3775097,Transferencia,8313273197,2,2,2,2,false,false,true
3,2024-02-28 08:48:17,2010844,Compra,3109087126,3,3,3,3,false,false,true
4,2024-02-28 19:06:37,4149752,Depósito,6097167283,4,4,4,4,false,false,true
5,2024-02-28 19:10:56,534425,Transferencia,5436781491,5,2,5,5,false,false,true
6,2024-02-28 22:48:55,3616456,Depósito,7632908807,6,3,4,6,false,false,true
7,2024-02-28 22:30:04,3492282,Depósito,5601021282,7,2,6,7,false,false,true
8,2024-02-28 11:09:34,3703444,Compra,6316503919,8,4,4,8,false,false,true
9,2024-02-28 23:24:37,2536347,Depósito,7910561254,9,4,4,9,false,false,true
10,2024-02-28 09:49:32,2631942,Depósito,1042290147,10,2,7,10,false,false,true
11,2024-02-28 17:14:42,1801494,Pago,8731280089,11,4,4,11,false,false,true
12,2024-02-28 22:18:53,1532306,Transferencia,3944500909,12,1,8,12,false,false,true
13,2024-02-28 09:57:04,1973763,Pago,2262176301,13,1,9,13,false,false,true
14,2024-02-28 04:37:19,2306383,Retiro,5702844746,14,2,4,14,false,false,true
15,2024-02-28 20:36:27,2993379,Retiro,1405433280,15,2,4,15,false,false,true
16,2024-02-28 07:20:30,827495,Pago,7821634427,16,3,4,16,false,false,true
17,2024-02-28 05:51:52,2253352,Compra,5274756770,17,2,10,17,false,false,true
18,2024-02-28 18:24:12,3608425,Pago,2486021659,18,5,4,18,false,false,true
19,2024-02-28 21:52:01,3687481,Pago,7144253663,19,1,4,19,false,false,true
20,2024-02-28 17:39:12,759867,Transferencia,9208601404,20,2,4,20,false,false,true
21,2024-02-28 23:43:48,1988875,Retiro,3042242759,21,4,4,21,false,false,true
22,2024-02-28 13:47:39,2436025,Compra,8021027951,22,5,11,22,false,false,true
23,2024-02-28 06:34:57,1930869,Compra,4626314365,23,4,4,23,false,false,true
24,2024-02-28 22:59:42,1947396,Retiro,3304358518,24,4,12,24,false,false,true
25,2024-02-28 19:44:29,1239242,Pago,4391389688,25,4,13,25,false,false,true
26,2024-02-28 00:19:05,1422996,Transferencia,5585072061,26,2,4,26,false,false,true
27,2024-02-28 12:30:06,2993312,Compra,6149936886,27,4,14,27,false,false,true
28,2024-02-28 12:47:11,2812092,Retiro,5511769143,28,4,4,28,false,false,true
29,2024-02-28 08:42:19,4990456,Retiro,5417646161,29,3,15,29,false,false,true
30,2024-02-28 18:09:40,3680469,Pago,7832496091,30,2,16,30,false,false,true
31,2024-02-28 07:01:08,2017884,Compra,8416121426,31,4,17,31,false,false,true
32,2024-02-28 04:19:52,1044518,Transferencia,5810192300,32,1,18,32,false,false,true
33,2024-02-28 07:07:42,4118252,Retiro,4870493927,33,3,19,33,false,false,true
34,2024-02-28 05:32:40,4661051,Retiro,6910081399,34,3,20,34,false,false,true
35,2024-02-28 22:11:53,4207961,Depósito,7981868813,35,5,4,35,false,false,true
36,2024-02-28 04:28:07,4093704,Transferencia,5741322105,36,5,4,36,false,false,true
37,2024-02-28 00:18:22,930476,Depósito,6832328690,37,5,21,37,false,false,true
38,2024-02-28 14:48:47,311356,Compra,5451662018,38,2,4,38,false,false,true
39,2024-02-28 04:15:07,4117851,Depósito,8198497775,39,1,4,39,false,false,true
40,2024-02-28 21:46:45,2970031,Retiro,7724194242,40,3,4,40,false,false,true
41,2024-02-28 02:33:03,3157682,Retiro,6518950757,41,1,4,41,false,false,true
42,2024-02-28 18:51:40,3564581,Transferencia,2923152868,42,3,22,42,false,false,true
43,2024-02-28 09:16:48,3449492,Depósito,5426864867,43,4,4,43,false,false,true
44,2024-02-28 07:54:16,282546,Pago,4689583733,44,1,4,44,false,false,true
45,2024-02-28 10:14:05,3046411,Retiro,2709381340,45,2,23,45,false,false,true
46,2024-02-28 11:07:41,3897493,Compra,9118387979,46,3,24,46,false,false,true
47,2024-02-28 06:31:40,4255372,Depósito,3325449926,47,1,4,47,false,false,true
48,2024-02-28 13:18:06,1635610,Compra,3321800024,48,4,25,48,false,false,true
49,2024-02-28 06:06:27,3459780,Retiro,4006697743,49,5,26,49,false,false,true
50,2024-02-28 22:13:47,1379679,Pago,1798785477,50,3,4,50,false,false,true
51,2024-02-28 10:28:31,1196247,Pago,6149041973,51,2,4,51,false,false,true
52,2024-02-28 03:22:28,518030,Compra,8229025018,52,1,27,52,false,false,true
53,2024-02-28 10:26:21,4495530,Transferencia,5463599319,53,4,4,53,false,false,true
54,2024-02-28 12:53:56,4273153,Pago,5702265472,54,3,28,54,false,false,true
55,2024-02-28 22:21:13,3876772,Retiro,4433463193,55,5,29,55,false,false,true
56,2024-02-28 04:33:08,4262071,Transferencia,7926354800,56,3,4,56,false,false,true
57,2024-02-28 16:44:16,3948121,Pago,1660447263,57,4,30,57,false,false,true
58,2024-02-28 06:05:16,1474946,Pago,8012955550,58,4,4,58,false,false,true
59,2024-02-28 07:17:29,252789,Transferencia,7838087395,59,4,4,59,false,false,true
60,2024-02-28 02:05:36,2433161,Retiro,2768930428,60,4,4,60,false,false,true
61,2024-02-28 11:20:03,3834774,Transferencia,9128923545,61,2,4,61,false,false,true
62,2024-02-28 04:43:58,1561516,Pago,2145283123,62,2,4,62,false,false,true
63,2024-02-28 06:53:25,1582178,Retiro,1180893086,63,3,31,63,false,false,true
64,2024-02-28 08:22:45,600431,Pago,3134720414,64,4,4,64,false,false,true
65,2024-02-28 02:51:44,2757648,Retiro,1800706136,65,5,4,65,false,false,true
66,2024-02-28 21:59:19,4795057,Retiro,2515005948,66,2,4,66,false,false,true
67,2024-02-28 02:04:58,3076506,Depósito,5136240659,67,2,32,67,false,false,true
68,2024-02-28 02:49:33,3753944,Depósito,9361742281,68,4,4,68,false,false,true
69,2024-02-28 23:26:32,1187641,Transferencia,6874362462,69,5,4,69,false,false,true
70,2024-02-28 21:58:40,4815052,Depósito,8989107993,70,3,4,70,false,false,true
71,2024-02-28 17:25:02,4955275,Pago,9554307678,71,3,33,71,false,false,true
72,2024-02-28 15:12:29,444200,Pago,9031425132,72,3,34,72,false,false,true
73,2024-02-28 00:44:16,4346929,Depósito,9822336021,73,3,35,73,false,false,true
74,2024-02-28 13:22:13,1357034,Transferencia,5040368364,74,4,4,74,false,false,true
75,2024-02-28 15:08:35,1917662,Pago,4907558081,75,2,4,75,false,false,true
76,2024-02-28 11:51:17,4021680,Depósito,3855314689,76,1,36,76,false,false,true
77,2024-02-28 17:49:26,4321032,Pago,1817565168,77,1,4,77,false,false,true
78,2024-02-28 11:53:16,2974902,Compra,8547248698,78,4,37,78,false,false,true
79,2024-02-28 02:28:32,2988688,Transferencia,3604263585,79,4,38,79,false,false,true
80,2024-02-28 11:29:51,4926210,Compra,1871142849,80,3,4,80,false,false,true
81,2024-02-28 14:58:12,498948,Retiro,8306484799,81,5,4,81,false,false,true
82,2024-02-28 07:55:26,2465078,Retiro,2531154211,82,1,4,82,false,false,true
83,2024-02-28 00:03:30,1775571,Compra,9612920738,83,5,4,83,false,false,true
84,2024-02-28 07:31:40,2672303,Pago,2039085284,84,1,4,84,false,false,true
85,2024-02-28 19:57:27,4965186,Compra,5227174813,85,3,39,85,false,false,true
86,2024-02-28 10:09:48,2467342,Retiro,3343862802,86,2,40,86,false,false,true
87,2024-02-28 05:02:20,3546855,Retiro,3357984102,87,5,41,87,false,false,true
88,2024-02-28 20:43:55,91904,Depósito,5963128552,88,5,42,88,false,false,true
89,2024-02-28 19:24:41,632851,Depósito,2474913593,89,2,43,89,false,false,true
90,2024-02-28 15:13:17,2108405,Pago,4023030613,90,3,44,90,false,false,true
91,2024-02-28 03:05:09,2220870,Compra,1301865097,91,5,4,91,false,false,true
